"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","N.mu","N.q25","N.q975","Cab.mu","Cab.q25","Cab.q975","Car.mu","Car.q25","Car.q975","Cbrown.mu","Cbrown.q25","Cbrown.q975","Cw.mu","Cw.q25","Cw.q975","Cm.mu","Cm.q25","Cm.q975"
"BNL10991","PA-PNM","SE_PSRPlus","ANACEX","Anacardium","excelsum","sunlit","121.748950110896","20160314",1.58124855725727,1.5764627202586,1.59528325847846,50.0241458394569,49.5233226661631,51.4849508301624,12.1133127588828,11.552239305834,13.7935831247323,0.0194838025342492,0.0116099592803083,0.0408269676960658,0.0163535496034941,0.0162810593237766,0.0165716623270764,0.0034839941676395,0.00332879288634268,0.00393956216692235
"BNL10401","PA-PNM","SVC_HR-1024i","ALBIAD","Albizia","adinocephala","sunlit","80.4439434395519","20160213",2.0563474536352,2.05144699034753,2.07064847679954,40.1738453624494,39.9635997845155,40.8341903177163,13.3599590115421,13.0617493137655,14.2746154952813,0.000474729581848662,0.000129354789593684,0.00179913199403438,0.0126890481445361,0.0126436484336746,0.0128256607145634,0.0104079398647227,0.0102850816905022,0.010751507233008
"BNL11004","PA-PNM","SE_PSRPlus","ANTITR","Pittoniotis","trichantha","sunlit","175.026670948942","20160314",1.47130833868884,1.46757952217712,1.4818820879827,23.8925091974312,23.6509198777241,24.6023291164044,8.64742064316145,8.32768766263502,9.55430976403175,0.138463634733499,0.129746533287438,0.164741145519529,0.0079998781589296,0.0079495021087075,0.00813454514791923,0.00444891782431272,0.00434764388560791,0.0047320328665078
"BNL10402","PA-PNM","SVC_HR-1024i","CAL2CA","Calycophyllum","candidissimum","sunlit","126.151706379077","20160213",1.82758726385324,1.82302576763514,1.84134551214279,48.4226561902796,48.1337448395212,49.2829397929527,13.0111972018991,12.6800077086891,14.0329506612956,0.00552169519082817,0.00184492734768129,0.0175368406778533,0.0166653764148227,0.0166140247551168,0.0168174327815813,0.00922180039425723,0.00909213644735427,0.00962324998873179
"BNL11055","PA-PNM","SE_PSRPlus","ALBIAD","Albizia","adinocephala","sunlit","115.346330886994","20160314",1.92759136882309,1.8914581058656,2.10991497436588,33.6974110232768,30.8520537463527,74.3705244678277,9.73087581209522,8.85315069274705,20.0850887177374,0.00379077865302272,0.000452871726083983,0.0275428518474164,0.00828957950222547,0.00808938548100154,0.0096438581146861,0.00639445822003601,0.00585331656915705,0.00853816361939895
"BNL10403","PA-PNM","SVC_HR-1024i","ANTITR","Pittoniotis","trichantha","sunlit","134.313416060925","20160213",1.64058803149956,1.63724395062369,1.65032984050945,33.2205041463281,33.015542438417,33.831368795225,9.69668508304282,9.46148296955758,10.397721005054,0.0127638542744826,0.00697336358740019,0.0289851601275983,0.0101726786793754,0.0101330392798202,0.0102868398738242,0.00672353288177031,0.00663631590883187,0.00697986871439896
"BNL11062","PA-PNM","SE_PSRPlus","CAL2CA","Calycophyllum","candidissimum","sunlit","100.185000848391","20160314",1.51254529362788,1.50691710477239,1.52982451690634,18.8707554646629,18.6731298681204,19.4742755685398,6.31182027462781,6.09835895798564,6.91895079557989,0.132247534674002,0.123293295209057,0.157176359944171,0.0156651787362406,0.0155699448068756,0.015947127420655,0.00353995067379664,0.0033490476099919,0.00409867532621353
"BNL10404","PA-PNM","SVC_HR-1024i","CAL2CA","Calycophyllum","candidissimum","sunlit","127.259674655176","20160213",2.03154739112553,2.02583477025553,2.04690317794781,57.0835535459994,56.746145776269,58.0697577101426,13.4513559577134,13.0929575258008,14.4855239729216,0.00172942674352809,0.000526435911133452,0.00649118217335984,0.0186619625488868,0.0186138843017596,0.0188094352933612,0.0101362555147797,0.00999009703343109,0.0105337885433002
"BNL11063","PA-PNM","SE_PSRPlus","CAL2CA","Calycophyllum","candidissimum","sunlit","105.869943173515","20160314",1.65278325521556,1.65215982878071,1.65215982878071,75.1611487540378,75.1786744788766,75.1786744788766,4.02626498241662,4.0251709202677,4.0251709202677,0.0676588060720683,0.0676630712462911,0.0676630712462911,0.0115587543707457,0.0115516188823294,0.0115516188823294,0.00939648002689674,0.00939004895292388,0.00939004895292388
"BNL10405","PA-PNM","SVC_HR-1024i","CASTEL","Castilla","elastica","sunlit","102.614697977629","20160213",1.82441623626285,1.82029196894232,1.83657747059177,46.8661887950528,46.5806731559893,47.6906428301657,11.8358441742593,11.5269111676246,12.7288518725322,0.000922668795925871,0.000260923635692376,0.0032681531879204,0.0147601562444055,0.01471148156124,0.014894167737092,0.00744492429758302,0.00733177120426329,0.00777896836996889
"BNL11064","PA-PNM","SE_PSRPlus","FICUIN","Ficus","insipida","sunlit","84.2156242964871","20160314",1.75870516960114,1.75251689525592,1.77586806094165,56.1611021619551,55.7149282360824,57.4140423395712,13.0581679212329,12.5481964268587,14.5093766750138,0.0416344081273393,0.0353635770945923,0.0608578487670747,0.0255825472642891,0.0255021412427632,0.0258306031185373,0.00106124339499812,0.000892918348163737,0.00155046929446563
"BNL10406","PA-PNM","SVC_HR-1024i","CASTEL","Castilla","elastica","sunlit","122.351325260659","20160213",1.85941120736012,1.85433148073204,1.87569532868661,49.5985555789556,49.251705875578,50.5699252259753,12.46804226268,12.1068716564589,13.5228731080797,0.0033892606193972,0.00108579818272586,0.0115885869797562,0.0163959068257889,0.0163405691193665,0.0165516646224607,0.00819961041129545,0.00805417718458445,0.00862413505577359
"BNL11065","PA-PNM","SE_PSRPlus","CAL2CA","Calycophyllum","candidissimum","sunlit","102.073019839183","20160314",1.7611570144359,1.75378404282981,1.78211096050102,33.2034208853276,32.8357188608156,34.326772266434,8.56231630766333,8.18718737146801,9.66776739530268,0.0229501492575114,0.0127155332455642,0.0502236782735651,0.0137242139807072,0.013634574168958,0.0139834895651657,0.00469930846675009,0.00451150541996816,0.00523010158695009
"BNL10407","PA-PNM","SVC_HR-1024i","CASTEL","Castilla","elastica","sunlit","128.370816055707","20160213",1.76551856898304,1.76081272287971,1.77927350160641,44.945830168625,44.6453449283313,45.7710690395129,11.542104932566,11.185927538377,12.4978253567516,0.0076193277114403,0.0031748098828583,0.0210871451798176,0.015826587490985,0.0157661662969218,0.0159821302724886,0.00796308217545273,0.00781639263885777,0.00837340452494753
"BNL11066","PA-PNM","SE_PSRPlus","CASTEL","Castilla","elastica","sunlit","84.3970996618613","20160314",1.74600847160817,1.74016318864326,1.76341610713119,28.7200602403627,28.4453806852055,29.4815742693077,10.06382206765,9.74416525297926,11.0489111598712,0.0361663129987084,0.0274514571128405,0.0617020219931871,0.0133301036096016,0.0132587608515671,0.0135475291844145,0.00276451628791412,0.00262014137330983,0.0031653397305229
"BNL10408","PA-PNM","SVC_HR-1024i","FICUIN","Ficus","insipida","sunlit","118.62153397545","20160213",2.2069646836472,2.19995804250054,2.22720556317938,82.4647100887849,81.9949939113806,83.8214926534897,21.8003879494038,21.2168195905156,23.5260463986701,0.0377025391829627,0.0328327900827634,0.0518113313201987,0.0325751459789299,0.0325054940897106,0.0327752176107382,0.00971184686597214,0.0095313846285407,0.0102234352999647
"BNL11070","PA-PNM","SE_PSRPlus","LUEHSE","Luehea","seemannii","sunlit","395.413749496219","20160314",2.79827842928632,2.78420179766381,2.8406796959905,89.1391275307087,88.0888285527241,92.0844119659097,22.6632608879095,21.4031506205688,26.5289177804008,0.358134224703993,0.348045464409864,0.388488870410548,0.0180444314558774,0.0179634028479651,0.0182928224445489,0.0125206632115065,0.0122929555483369,0.0131940670042633
"BNL10409","PA-PNM","SVC_HR-1024i","FICUIN","Ficus","insipida","sunlit","69.4999164605506","20160213",2.03023374451728,2.02405164130584,2.04839852840185,60.8419036994426,60.5497834826237,61.6349068428062,15.2751995565122,14.9714527578779,16.1412800053465,0.00159849148982456,0.000468124601165477,0.00594578978874029,0.0335319238967427,0.0334665329667713,0.0337194277617961,0.00829420646911097,0.00812923695690733,0.00877568550329756
"BNL11071","PA-PNM","SE_PSRPlus","ANACEX","Anacardium","excelsum","sunlit","56.4696557926499","20160314",1.54027574570607,1.53510925051465,1.55552070358674,44.9003665588649,44.496847907441,46.0709310013081,10.8298774379694,10.3568526168222,12.3520057300852,0.00321778770806744,0.00100619543774641,0.0105163799086732,0.0215933866633802,0.0215019732546796,0.021851782409684,0.000615116216573657,0.000436802367715498,0.00113335150596042
"BNL10410","PA-PNM","SVC_HR-1024i","ANTITR","Pittoniotis","trichantha","sunlit","133.420806500807","20160213",1.68598166621403,1.68180191859094,1.69763231294468,41.1805279437603,40.9179609030347,41.8943651412543,11.5259477117577,11.2037667625509,12.3521217801757,0.00371615084971182,0.00130875121019073,0.0120880309201811,0.0129899076373123,0.0129437250522029,0.0131218541131324,0.00847642381358486,0.00834955218127305,0.00880665453243226
"BNL11072","PA-PNM","SE_PSRPlus","CORDAL","Cordia","alliodora","sunlit","375.846628173297","20160314",1.23301045249523,1.23102492460485,1.23857356233437,39.8629666247317,39.4197747103264,41.1431670549786,9.22291920648792,8.67469329543885,10.9885079071163,0.431360557919392,0.423165550575437,0.455150419270909,0.00698051195364128,0.00695167062484753,0.00706563411079762,0.00369162255593284,0.00363150161319378,0.00386137726967577
"BNL10411","PA-PNM","SVC_HR-1024i","CASTEL","Castilla","elastica","sunlit","109.564346998494","20160213",1.68458426743504,1.68093979329962,1.6958034745113,42.8277673713962,42.57376833121,43.5861579563549,11.3375292522887,11.0421632475832,12.2142252281908,0.0010878883187169,0.000385891735675544,0.00379343368054634,0.0123651225143274,0.0123223283368715,0.012485689730525,0.00681161940615968,0.00670571665637247,0.00711654685166089
"BNL11073","PA-PNM","SE_PSRPlus","CASTEL","Castilla","elastica","sunlit","121.473320213813","20160314",1.64041434433026,1.63554271449453,1.65442696967362,28.7877838196039,28.4977044235772,29.6116973599854,10.3403191335709,9.98085447930724,11.4608821822635,0.0964778855987381,0.0881308634220494,0.120930586156514,0.0117481385661422,0.011683580141533,0.0119381393295517,0.0029468881526922,0.00283138385639303,0.00331306454362386
"BNL10412","PA-PNM","SVC_HR-1024i","FICUIN","Ficus","insipida","sunlit","118.470196843671","20160213",2.28081909759593,2.27289013214235,2.30451503601457,88.0238140148516,87.5489812963165,89.4205281278613,21.9894879399984,21.377751769446,23.8273867697242,0.0300458832090746,0.0250652850386615,0.0446348522113347,0.0352226761706851,0.0351410478651697,0.0354680572186333,0.0105867877493112,0.0104008476085541,0.0111450058550339
"BNL11074","PA-PNM","SE_PSRPlus","ANTITR","Pittoniotis","trichantha","sunlit","256.481175878349","20160314",1.46423951795789,1.46007034896504,1.47661584691279,29.5902505792292,29.2050883537444,30.702154123454,8.24583344344196,7.8192925436923,9.57093858492416,0.229076180878342,0.21937373694353,0.257206043468884,0.00846141577679676,0.00840591812719831,0.00862765389163941,0.00451664325452373,0.00440177883711931,0.00485438929736738
"BNL10413","PA-PNM","SVC_HR-1024i","CASTEL","Castilla","elastica","sunlit","103.761264202707","20160213",1.75999025046976,1.75514701719957,1.7755175345637,52.9545802542382,52.5906950895384,54.244645605926,12.5802840905382,12.1952032590554,13.7867478177507,0.00107565734568787,0.000334141914001844,0.00410445557166884,0.0160987805843277,0.016040705522777,0.0162707159362111,0.00733443626693976,0.00718565158163398,0.00776965274580751
"BNL11076","PA-PNM","SE_PSRPlus","CAL2CA","Calycophyllum","candidissimum","sunlit","526.027259460979","20160314",1.8679240146034,1.86153664226232,1.8881230816981,36.1230760017766,35.577618477537,37.6921784574979,7.91793032922509,7.35708256191122,9.54565505306151,0.633629432874194,0.621483083341167,0.667682269033554,0.0101346142926306,0.0100632149609745,0.0103218848655601,0.00608329439853849,0.0059415361148926,0.00649594362480808
"BNL10414","PA-PNM","SVC_HR-1024i","ANTITR","Pittoniotis","trichantha","sunlit","133.914796364898","20160213",1.58485198241792,1.58132486095384,1.59521217462404,41.6576382626563,41.3559235362549,42.5421050988892,10.4550330921783,10.135701407936,11.3449513678146,0.00277889712914278,0.000794430812946592,0.00961945144753427,0.011985649820676,0.0119380471178974,0.0121244331759053,0.00681724485825807,0.00671118475192395,0.00712625731750238
"BNL11077","PA-PNM","SE_PSRPlus","ANACEX","Anacardium","excelsum","sunlit","87.3633489895614","20160314",1.61298032936357,1.60590389526911,1.63448995585317,51.0652520349356,50.5417597833991,52.6709648969534,13.5805155891459,12.8929601724939,15.6159683270672,0.00465523738750189,0.00168775683789109,0.0150751173243622,0.0208928559350759,0.0207964299253241,0.0211835173725091,0.00348371560771197,0.00324386458150646,0.00418248803328353
"BNL10415","PA-PNM","SVC_HR-1024i","LUEHSE","Luehea","seemannii","sunlit","421.883163287182","20160213",3.72347497698554,3.70049576928007,3.79322958150857,136.694692234022,135.51377246455,140.310424123737,28.7625683562155,27.5773285121698,32.0962672828205,0.393151426878906,0.384688939234531,0.416843985799924,0.0292817073781205,0.029145213921131,0.0296990008807051,0.0250285496004594,0.0247127888606186,0.0259661882623594
"BNL11078","PA-PNM","SE_PSRPlus","CAL2CA","Calycophyllum","candidissimum","sunlit","687.691196240707","20160314",1.96597481522853,1.95931190447061,1.98476226321339,40.5193989044121,39.8543059763737,42.4510240957339,8.99246972073472,8.19108340806741,11.3819906281169,0.758082123714131,0.745177901875269,0.795958316603029,0.00818064571007414,0.00812140940309278,0.00834862098965306,0.00540697226820556,0.00528974356114595,0.0057524011621133
"BNL10416","PA-PNM","SVC_HR-1024i","LUEHSE","Luehea","seemannii","sunlit","285.515325560296","20160213",3.92607070560227,3.89708211307855,4.00587015630819,164.279201938298,162.789349511054,168.248751394575,31.8203281794162,30.7479388608576,35.2138841467951,0.101428913257469,0.0941098726915555,0.120309572005675,0.0350812376093534,0.0348899747566099,0.0356138974280122,0.0245931536973105,0.0242120803774758,0.0256329753498021
"BNL11079","PA-PNM","SE_PSRPlus","CORDAL","Cordia","alliodora","sunlit","270.5073798534","20160314",1.55422238761557,1.5506530900089,1.56429153712629,60.8799092785036,60.094475192098,63.2097216450342,9.29718057431964,8.63470488094697,11.2500168968414,0.148585427612504,0.139899030647717,0.173734437776353,0.009060924207012,0.00901500791803346,0.00919118613373538,0.00356931309690237,0.00348126195330297,0.0038358591123256
"BNL10417","PA-PNM","SVC_HR-1024i","CAL2CA","Calycophyllum","candidissimum","sunlit","111.589327630794","20160213",1.83892381842028,1.83426020106734,1.85142545881227,47.2334188579451,47.0282663165041,47.8638779552795,13.0672717269971,12.7629068072786,14.0105741989004,0.00223526717808767,0.000539918096500604,0.00819624136875533,0.0184890499856935,0.0184428501002155,0.0186252354506619,0.00954906484818592,0.00941437386663521,0.00993142363592164
"BNL11081","PA-PNM","SE_PSRPlus","FICUIN","Ficus","insipida","sunlit","52.613683765227","20160314",1.80849380651083,1.80271388752685,1.82734638832149,47.0120168364579,46.5971005076906,48.2789215169846,13.0513397725456,12.5312125773606,14.5749756872004,0.029100354820054,0.0210160877479017,0.0519651519026887,0.0285112960963681,0.0284001403549205,0.0288297831772994,0.000399690627200254,0.0002380510514037,0.000884699007692812
"BNL10418","PA-PNM","SVC_HR-1024i","CORDAL","Cordia","alliodora","sunlit","306.595945321738","20160213",1.79269491547174,1.78636254884171,1.81179249969846,34.05885775486,33.6329771547079,35.3249231934399,9.01542280007691,8.59602189646758,10.2458885565597,0.290792888469123,0.280611314934887,0.320219954608841,0.0106924376623807,0.0106237689846398,0.0108958353700874,0.00770091637769565,0.00754187715235775,0.00816877310013735
"BNL11082","PA-PNM","SE_PSRPlus","FICUIN","Ficus","insipida","sunlit","40.1575240873325","20160314",1.8977461768409,1.71982796919403,4.09972294579995,45.178911828701,41.3879450643687,94.4064907564236,13.9524028553939,12.0956582948296,37.7140682046965,0.0364890298272298,0.00419336827885454,0.326889781835116,0.0269754539032956,0.0255646059375523,0.0401493192152177,0.0035720108866382,9.20909410785337e-05,0.048142631374761
"BNL10419","PA-PNM","SVC_HR-1024i","CORDAL","Cordia","alliodora","sunlit","143.66634134688","20160213",1.91848179708157,1.91417978823122,1.93088191869457,49.8732026789133,49.5659265255639,50.8034542398366,12.5886456003143,12.2522448912582,13.6050124150693,0.0082016507602335,0.00347019701424571,0.0225164263498297,0.0137290000921381,0.0136834158376229,0.013862944354835,0.00753457190642857,0.00742858501249164,0.00784035804075277
"BNL11083","PA-PNM","SE_PSRPlus","ALBIAD","Albizia","adinocephala","sunlit","92.2419763909726","20160314",2.87893782151746,2.86204043119807,2.9254494212622,44.4315957394863,43.9734787135405,45.7876813911966,15.9247200167886,15.3613462838566,17.6486232045195,0.00237810066000593,0.000653931527826678,0.00916767726819822,0.0145260809927369,0.0144430720695329,0.0147686369534951,0.0104658254094125,0.0102348587445057,0.0111203009668686
"BNL10420","PA-PNM","SVC_HR-1024i","CORDAL","Cordia","alliodora","sunlit","210.080463864323","20160213",1.83572768316092,1.83071548718818,1.85031934608727,45.3242522098881,44.9803317306369,46.3839621915067,12.6613900806586,12.210590939137,14.0192879646374,0.157245100856571,0.149789568409475,0.178072975132124,0.0127941782185652,0.0127456847784886,0.012937202320063,0.00756716467926687,0.00744716291920024,0.00790436596419355
"BNL11087","PA-PNM","SE_PSRPlus","CASTEL","Castilla","elastica","sunlit","86.9771004032866","20160314",1.541138766655,1.53795494061084,1.55118020898657,37.8392624731159,37.5397384532912,38.5787432292912,9.09012677903198,8.79342066206959,10.0098922952831,0.0018492252514843,0.000556199372310773,0.00635682233757594,0.012145819359488,0.0120884453528202,0.0122993472815898,0.00297546238411281,0.00286612742822732,0.00333133505804104
"BNL10421","PA-PNM","SVC_HR-1024i","ALBIAD","Albizia","adinocephala","sunlit","79.9962507401958","20160213",1.97637598976086,1.97137275087417,1.99078583857529,25.1083095980499,24.9832902230772,25.5006665717652,9.80729804378288,9.61715978099753,10.3337654304569,0.000460258296040969,0.000126084516454793,0.00152559013641943,0.00992349886977345,0.00988067137364732,0.010051776417667,0.0101487887889877,0.0100358675784348,0.0104617797937693
"BNL11090","PA-PNM","SE_PSRPlus","ALBIAD","Albizia","adinocephala","sunlit","104.998439478427","20160314",1.81452125689298,1.80997726296881,1.82765195484538,41.0156871972384,40.701583685011,41.9327224574309,12.2562121752137,11.8340609491043,13.461746138025,0.00109391867436602,0.000334539455070329,0.00405387937807194,0.0105795165625286,0.0105338935826876,0.010724422609753,0.00605400386560223,0.00594341593553652,0.00635904772019095
"BNL10422","PA-PNM","SVC_HR-1024i","ALBIAD","Albizia","adinocephala","sunlit","123.428039385009","20160213",1.76199621865339,1.75834298415668,1.77266812388621,34.1802410641935,33.9800680601455,34.7632946769352,11.3608706982222,11.1182864275361,12.0892195593117,0.00063456726739988,0.000196076145757541,0.00227034166728224,0.0104137504370325,0.0103749641819995,0.0105258770186146,0.0101185477435257,0.01002648421878,0.010396896134904
