"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","Leaf_VIS_Spectral_Absorption"
"BNL12801","FLMM","HR-1024i","BAS-EGG","Bastardiopsis","eggersii","Upper","153.658795061973","20170303",0.907162357672864
"BNL12802","FLMM","HR-1024i","COR-OBO","Cornutia","obovata","Lower","101.136669354988","20170303",0.906391943109171
"BNL12803","FLMM","HR-1024i","COR-OBO","Cornutia","obovata","Lower","99.233971943313","20170303",0.939918801983703
"BNL12804","FLMM","HR-1024i","PHL-COW","Phlebotaenia","(Polygala) cowellii","Lower","124.077541730522","20170303",0.933321926700477
"BNL12805","FLMM","HR-1024i","HYM-COU","Hymenaea","courbaril","Lower","131.956742758025","20170303",0.926191915775038
"BNL12806","FLMM","HR-1024i","PHL-COW","Phlebotaenia","(Polygala) cowellii","Upper","183.021394044574","20170303",0.958344639543552
"BNL12813","FLMM","PSR+3500","BYR-SPI","Byrsonima","spicata","Lower","755.749429795659","20170304",0.920553668687647
"BNL12814","FLMM","PSR+3500","BYR-SPI","Byrsonima","spicata","Upper","63.3588210193536","20170304",0.912955306870327
"BNL12815","FLMM","PSR+3500","BYR-SPI","Byrsonima","spicata","Upper","386.369045292005","20170304",0.947221310102007
"BNL12816","FLMM","PSR+3500","HYM-COU","Hymenaea","courbaril","Upper","32.3769603792364","20170304",0.862506474047516
"BNL12817","FLMM","PSR+3500","THE-GRA","Thespesia","grandiflora","Lower","135.830454794101","20170304",0.945388669091281
"BNL12818","FLMM","PSR+3500","THE-GRA","Thespesia","grandiflora","Lower","82.5371443797293","20170304",0.941679359719709
"BNL12819","FLMM","PSR+3500","BAN-VAN","Banara","vanderbiltii","Upper","114.342192525167","20170304",0.906297648022472
"BNL12820","FLMM","PSR+3500","BAN-VAN","Banara","vanderbiltii","Upper","154.025322806462","20170304",0.896393259163839
"BNL12821","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Lower","37.7705789407772","20170304",0.893559380426284
"BNL12822","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Lower","226.947757611446","20170304",0.928426258942934
"BNL12823","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Lower","767.641037699448","20170304",0.909970281746837
"BNL12824","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Upper","23.3911693234797","20170304",0.871136250425967
"BNL12825","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Upper","63.0367606536253","20170304",0.929430172489577
"BNL12826","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Upper","533.918698840853","20170304",0.924266022474776
"BNL12827","FLMM","PSR+3500","BAN-VAN","Banara","vanderbiltii","Lower","120.110352519459","20170304",0.925594441220331
"BNL12828","FLMM","PSR+3500","BAN-VAN","Banara","vanderbiltii","Lower","160.892527913971","20170304",0.935235618613708
"BNL12829","FLMM","PSR+3500","GOE-ELE","Goetzea","elegans","Upper","8.03457307062187","20170304",0.839437635235888
"BNL12830","FLMM","PSR+3500","GOE-ELE","Goetzea","elegans","Upper","87.1625837515778","20170304",0.938071417445947
"BNL12831","FLMM","PSR+3500","GOE-ELE","Goetzea","elegans","Upper","138.8062222197","20170304",0.939585615257399
"BNL12832","FLMM","PSR+3500","COR-OBO","Cornutia","obovata","Upper","27.7293309860472","20170304",0.928196071362394
"BNL12833","FLMM","PSR+3500","ACR-MED","Acrocomia","media","Upper","71.4388950686149","20170304",0.907727289634631
