"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","Red","Blue","Far_Red"
"BNL12801","FLMM","HR-1024i","BAS-EGG","Bastardiopsis","eggersii","Upper","153.658795061973","20170303",0.912999199714525,0.95608730705577,0.153318034629923
"BNL12802","FLMM","HR-1024i","COR-OBO","Cornutia","obovata","Lower","101.136669354988","20170303",0.911073368621368,0.956628630713878,0.153389317031032
"BNL12803","FLMM","HR-1024i","COR-OBO","Cornutia","obovata","Lower","99.233971943313","20170303",0.94457574276356,0.958887481783023,0.255189107146408
"BNL12804","FLMM","HR-1024i","PHL-COW","Phlebotaenia","(Polygala) cowellii","Lower","124.077541730522","20170303",0.932753853203079,0.958596467387216,0.190022375498037
"BNL12805","FLMM","HR-1024i","HYM-COU","Hymenaea","courbaril","Lower","131.956742758025","20170303",0.929279724886692,0.958036595333644,0.182427644976241
"BNL12806","FLMM","HR-1024i","PHL-COW","Phlebotaenia","(Polygala) cowellii","Upper","183.021394044574","20170303",0.956966923505913,0.959394734132239,0.271555778774258
"BNL12813","FLMM","PSR+3500","BYR-SPI","Byrsonima","spicata","Lower","755.749429795659","20170304",0.905199109539059,0.953400370432334,0.399392127840199
"BNL12814","FLMM","PSR+3500","BYR-SPI","Byrsonima","spicata","Upper","63.3588210193536","20170304",0.913773732364529,0.957623776750612,0.202117029989862
"BNL12815","FLMM","PSR+3500","BYR-SPI","Byrsonima","spicata","Upper","386.369045292005","20170304",0.951975713247681,0.959072882776138,0.341788123095165
"BNL12816","FLMM","PSR+3500","HYM-COU","Hymenaea","courbaril","Upper","32.3769603792364","20170304",0.860357852333578,0.949463714929172,0.116334217512151
"BNL12817","FLMM","PSR+3500","THE-GRA","Thespesia","grandiflora","Lower","135.830454794101","20170304",0.951406548345057,0.959039994686615,0.212987084237596
"BNL12818","FLMM","PSR+3500","THE-GRA","Thespesia","grandiflora","Lower","82.5371443797293","20170304",0.947030555772025,0.958883257284682,0.194286038361697
