"Site","Sample_ID","Sample_Date","Species_Code","Genus","Species","Canopy_position","Light_Exposure","Sample_Type","Latitude","Longitude","Cmass_mg_g","Nmass_mg_g","CNratio","Carea_g_m2","Narea_g_m2","LMA_gDW_m2"
"CAM II","BNL12862T",20170305,"CHR-PAU","Chrysophyllum","pauciflorum","Mid","Part_Sun","Chem",18.449981,-66.600623,NA,NA,NA,NA,NA,81.66
"FLMM","BNL12801",20170303,"BAS-EGG","Bastardiopsis","eggersii","Upper","Sunlit","Chem",18.387864,-66.028765,442.1,39,11.34,19.14,1.69,43.28
"CAM II","BNL12863T",20170305,"LIC-PAR","Licaria","parvifolia (Lam.) Kosterm.","Upper","Sunlit","Chem",18.449981,-66.600623,489.6,21,23.31,52.18,2.24,106.58
"FLMM","BNL12802",20170303,"COR-OBO","Cornutia","obovata","Lower","Shaded","Chem",18.387864,-66.028765,450.9,25.9,17.41,24.62,1.41,54.6
"CAM II","BNL12866T",20170305,"GYM-LUC","Gymnanthes","lucida Sw.","Mid","Part_Sun","Chem",18.449981,-66.600623,473.7,26.6,17.81,37.45,2.1,79.05
"FLMM","BNL12803",20170303,"COR-OBO","Cornutia","obovata","Lower","Shaded","Chem",18.387864,-66.028765,451.9,22,20.54,44.96,2.19,99.48
"FLMM","BNL12868T",20170305,"BOU-SUC","Bourreria","succculenta","Lower","Shaded","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,59.23
"FLMM","BNL12804",20170303,"PHL-COW","Phlebotaenia","(Polygala) cowellii","Lower","Shaded","Chem",18.387864,-66.028765,504.9,29.4,17.17,25.29,1.47,50.08
"FLMM","BNL12870T",20170305,"BOU-SUC","Bourreria","succculenta","Upper","Sunlit","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,93.44
"FLMM","BNL12805",20170303,"HYM-COU","Hymenaea","courbaril","Lower","Shaded","Chem",18.387864,-66.028765,494,32.9,15.02,25.04,1.67,50.69
"FLMM","BNL12871T",20170305,"BOU-SUC","Bourreria","succculenta","Upper","Sunlit","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,103.7
"FLMM","BNL12806",20170303,"PHL-COW","Phlebotaenia","(Polygala) cowellii","Upper","Sunlit","Chem",18.387864,-66.028765,498,23.4,21.28,59.31,2.79,119.1
"FLMM","BNL12873T",20170305,"MAM-AME","Mammea","americana","Lower","Shaded","Chem",18.387864,-66.028765,361.8,23.1,15.66,35.66,2.28,98.56
"FLMM","BNL12813",20170304,"BYR-SPI","Byrsonima","spicata","Lower","Shaded","Chem",18.387864,-66.028765,510.2,21.2,24.07,41.67,1.73,81.67
"FLMM","BNL12874T",20170305,"MAM-AME","Mammea","americana","Lower","Shaded","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,88.32
"FLMM","BNL12814",20170304,"BYR-SPI","Byrsonima","spicata","Upper","Sunlit","Chem",18.387864,-66.028765,535.5,21,25.5,49.37,1.94,92.19
