Sample_ID,Cmass_pc,Nmass_pc,CNratio,Carea_g_m2,Narea_g_m2
BNL10401,52.47,3.82,13.74,44.71,3.26
BNL10402,50.76,1.94,26.16,45.04,1.72
BNL10411,46.15,2.48,18.61,40.26,2.16
BNL10412,40.34,2.52,16.01,48.83,3.05
BNL10418,44.93,3,14.98,42.19,2.82
BNL10424,49.28,1.79,27.53,75.41,2.74
BNL10425,47.17,1.67,28.25,43.68,1.55
BNL10442,44.2,2.3,19.22,45.05,2.34
BNL10446,49.16,1.97,24.95,38.64,1.55
BNL10535,48.81,2.07,23.58,29.26,1.24
BNL10536,45.32,2.14,21.18,65.32,3.08
BNL10537,47.15,2.61,18.07,38.31,2.12
BNL10538,48.35,3.34,14.48,-9999,-9999
BNL10539,45.81,2.18,21.01,43.53,2.07
BNL10540,50.13,3.79,13.23,41.31,3.12
BNL10541,47.62,1.4,34.01,46.57,1.37
BNL10542,44.07,3.49,12.63,30.44,2.41
BNL10544,49.85,2.17,22.97,23.14,1.01
BNL10545,50.2,3.67,13.68,35.85,2.62
BNL10546,50.46,2.34,21.56,39.34,1.82
BNL10549,45.78,3.46,13.23,33.13,2.5
BNL10550,40.15,2.41,16.66,54,3.24
BNL10551,47.92,1.69,28.36,41.41,1.46
BNL10552,50.16,1.93,25.99,27.08,1.04
BNL10553,50.53,4.35,11.62,33.69,2.9
BNL10554,50.41,1.79,28.16,46.92,1.67
BNL10555,48.16,1.64,29.37,42.85,1.46
BNL10556,45.95,2.23,20.61,43.18,2.1
BNL10557,44.51,3.71,12,31.45,2.62
BNL10558,40.47,2.36,17.15,49.46,2.88
BNL10559,47.89,1.62,29.56,44.35,1.5
BNL10560,49.41,1.97,25.08,67.97,2.71
BNL10561,43.64,3.33,13.11,28.85,2.2
BNL10562,48.99,1.86,26.34,74.6,2.83
BNL10565,52.92,1.78,29.73,68.31,2.3
BNL10567,53.05,1.81,29.31,51.66,1.76
BNL10593,51.32,2.05,25.03,45.35,1.81
BNL10627,51.38,1.7,30.22,42.52,1.41
BNL10630,52.23,1.55,33.7,82.68,2.45
BNL10631,49.84,1.73,28.81,56.89,1.97
BNL10632,53.03,2.52,21.04,52.06,2.47
BNL10634,51.31,1.86,27.59,50.4,1.83
BNL10635,49.45,1.69,29.26,52.48,1.79
BNL10636,48.75,1.56,31.25,71.69,2.29
BNL10637,53.91,1.75,30.81,58.33,1.89
BNL10638,50.14,1.94,25.85,53.5,2.07
BNL10640,49.15,2.12,23.18,40.75,1.76
BNL10641,48.54,1.61,30.15,51.73,1.72
BNL10642,53.4,1.84,29.02,55.93,1.93
BNL10643,51.32,1.91,26.87,43.7,1.63
BNL10652,52.93,1.68,31.51,78.78,2.5
BNL10652,38.7,2.35,16.47,57.6,3.5
BNL10658,49.97,2.01,24.86,57.02,2.29
BNL10660,49.83,2.39,20.85,54.28,2.6
BNL10661,47.3,2.47,19.15,38.33,2
BNL10662,49.72,2.4,20.72,42.8,2.07
BNL10663,50.96,2.35,21.69,55.14,2.54
BNL10664,40.54,2.34,17.32,52.76,3.05
BNL10665,51.06,2.24,22.79,57.37,2.52
BNL10684,49.67,2.13,23.32,38.75,1.66
BNL10688,52.46,1.76,29.81,51.47,1.73
BNL10689,50.03,1.63,30.69,54.18,1.77
BNL10690,49.36,2.05,24.08,38.55,1.6
BNL10691,46.64,1.39,33.55,58.83,1.75
BNL10699,52.34,1.58,33.13,74.49,2.25
BNL10701,52.92,2.14,24.73,56.11,2.27
BNL10702,53,1.36,38.97,70.32,1.8
BNL10703,51.35,1.82,28.21,58.29,2.07
BNL10723,44.54,1.29,34.53,54.84,1.59
BNL10724,47.84,1.41,33.93,49.12,1.45
BNL10727,44.1,1.92,22.97,48.45,2.11
BNL10749,53.59,1.65,32.48,53.1,1.64
BNL10750,47.1,1.88,25.05,44.11,1.76
BNL10784,49.48,1.58,31.32,60.63,1.94
BNL10786,51.88,1.58,32.84,58.29,1.78
BNL10787,54.03,1.75,30.87,75.38,2.44
BNL10788,53.26,1.36,39.16,65.64,1.68
BNL10803,53.46,1.78,30.03,72.65,2.42
BNL10805,52.79,2.12,24.9,51.96,2.09
BNL10807,53.02,1.43,37.08,65.63,1.77
BNL10880,52.35,1.06,49.39,73.15,1.48
BNL10882,52.63,1.76,29.9,62.65,2.1
BNL10885,54.01,1.73,31.22,86.05,2.76
BNL10928,52.44,1.08,48.56,69.6,1.43
BNL10937,50.24,1.44,34.89,51.93,1.49
BNL10939,51.25,1.96,26.15,63.19,2.42
BNL10940,53.46,1.73,30.9,54.23,1.75
BNL10942,48.35,1.25,38.68,52.89,1.37
