Sample_ID,Duplicate_flag,Chem_type,H20_pc,LMA_gDW_m2,SLA_cm2_gDW
BNL10442,1,CHN,68.31,101.91,98.12
BNL10446,1,CHN,61.84,78.6,127.23
BNL10660,1,CHN,55.24,108.93,91.8
BNL10662,1,CHN,58.36,86.07,116.18
BNL10663,1,CHN,55.67,108.2,92.42
BNL10664,1,CHN,60.83,130.14,76.84
BNL10665,1,CHN,55.94,112.36,89
BNL10684,1,CHN,62.12,78.01,128.18
BNL10409,1,CHN,70.81,92.32,108.32
BNL10427,1,CHN,63.78,92.38,108.25
BNL10423,1,CHN,46.37,150.06,66.64
BNL10420,1,CHN,46.8,85.76,116.61
BNL10426,1,CHN,60.09,95.09,105.16
BNL10417,1,CHN,47.15,85.77,116.59
BNL10401,1,CHN,48.14,85.21,117.36
BNL10424,1,CHN,46.97,153.02,65.35
BNL10416,1,CHN,49.54,139.77,71.55
BNL10425,1,CHN,63.79,92.61,107.98
BNL10404,1,CHN,56.24,89.7,111.48
BNL10411,1,CHN,59.55,87.24,114.62
BNL10413,1,CHN,60.27,98.81,101.2
BNL10412,1,CHN,65.77,121.05,82.61
BNL10403,1,CHN,53.53,78.11,128.02
BNL10405,1,CHN,60,95.22,105.02
BNL10410,1,CHN,50.51,100.49,99.52
BNL10422,1,CHN,45.73,95.83,104.36
BNL10414,1,CHN,52.99,89.05,112.3
BNL10408,1,CHN,66.66,109.49,91.33
BNL10402,1,CHN,55.53,88.73,112.7
BNL10419,1,CHN,51.52,78.14,127.98
BNL10421,1,CHN,42.4,94.38,105.95
BNL10418,1,CHN,50,93.9,106.5
BNL10406,1,CHN,59.77,103.57,96.56
BNL10430,1,CHN,47.23,84.86,117.84
BNL10429,1,CHN,41.94,94.72,105.58
BNL10407,1,CHN,68.81,103.4,96.72
BNL10415,1,CHN,45.63,145.8,68.59
BNL10609,1,CHN,57.43,63.62,157.2
BNL10610,1,CHN,55.57,90.64,110.32
BNL10611,1,CHN,62.85,128.02,78.11
BNL10613,1,CHN,58.9,74.77,133.75
BNL10615,1,CHN,63.12,123.07,81.26
BNL10616,1,CHN,55.67,84.3,118.62
BNL10617,1,CHN,49.75,101.79,98.24
BNL10618,1,CHN,56.09,66.23,150.98
BNL10623,1,CHN,47.03,141.65,70.6
BNL10624,1,CHN,63.95,87.73,113.99
BNL10625,1,CHN,62.53,90.64,110.32
BNL10620,1,CHN,53.05,91.47,109.32
BNL10666,1,CHN,59.43,103.76,96.38
BNL10669,1,CHN,57.29,85.21,117.36
BNL10670,1,CHN,67.45,109.81,91.07
BNL10671,1,CHN,50.96,64.08,156.04
BNL10672,1,CHN,49.6,78.09,128.06
BNL10673,1,CHN,55.71,90.96,109.94
BNL10674,1,CHN,50.53,87.48,114.31
BNL10675,1,CHN,47.6,102.5,97.56
BNL10676,1,CHN,63.61,125.69,79.56
BNL10677,1,CHN,54.29,88.6,112.86
BNL10678,1,CHN,54.74,73.52,136.02
BNL10679,1,CHN,62.2,96.4,103.73
BNL10680,1,CHN,63.01,95.67,104.52
BNL10681,1,CHN,48.26,131.96,75.78
BNL10682,1,CHN,56.66,100.12,99.88
BNL10683,1,CHN,47.39,142.23,70.31
BNL10654,1,CHN,52.03,89.53,111.69
BNL10621,1,CHN,56.96,89.92,111.21
BNL10604,1,CHN,53.51,103.3,96.8
BNL10606,1,CHN,60.38,98.9,101.11
BNL10603,1,CHN,67.78,114.21,87.56
BNL10619,1,CHN,59.86,99.89,100.11
BNL10614,1,CHN,50.61,148.39,67.39
BNL10655,1,CHN,48.15,95.91,104.27
BNL10605,1,CHN,62.7,107.62,92.92
BNL10612,1,CHN,46.48,167.68,59.64
BNL10607,1,CHN,53.13,82.42,121.32
BNL10656,1,CHN,54.21,91.9,108.81
BNL10602,1,CHN,61.29,136.51,73.26
BNL10622,1,CHN,58.44,92.46,108.15
BNL10608,1,CHN,56.78,89.28,112
BNL10601,1,CHN,54.73,93.52,106.93
BNL10535,1,CHN,59.9,59.94,166.84
BNL10536,1,CHN,63.56,144.13,69.38
BNL10537,1,CHN,65.05,81.24,123.09
BNL10539,1,CHN,63.78,95.02,105.25
BNL10540,1,CHN,51.47,82.4,121.36
BNL10541,1,CHN,63.63,97.78,102.27
BNL10542,1,CHN,60.33,69.08,144.77
