Sample_ID,Date,Location,Species_Code,Latin_genus,Latin_species,Genus_species,Gasex_typeOrSequence,TleafDegC_canopy,TleafDegCpreSpec,TleafDegCpostSpec,Photo_num,Canopy_position,General_Comments
BNL10401,2/13/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 1,26.4,30.5,32.9,Nikon; 623,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10422,2/13/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 1,27.1,32.7,32.8,Nikon; 643,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10421,2/13/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 1,26.9,32.7,34.7,Nikon; 641,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10430,2/13/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 2,31.4,,,Nikon; 665,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10429,2/13/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 2,31.4,,,Nikon; 664,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10671,2/13/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 3,31.7,,,Nikon; 694,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10672,2/13/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 3,32.3,,,Nikon; 695,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10654,2/13/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 4,30.4,,,Nikon; 697,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10601,2/13/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 4,31,,,Nikon; 716,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10456,2/13/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Pre-dawn LWP,24.1,,28,,sunlit,
BNL10457,2/13/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Pre-dawn LWP,24.3,,28.2,,sunlit,
BNL10458,2/13/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Pre-dawn LWP,24.2,,29,,sunlit,
BNL10538,2/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,ACi,,31.5,32.3,"Nikon, 901",sunlit,
BNL10540,2/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,ACi,,31.2,32,"Nikon, 911",sunlit,
BNL10545,2/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,ACi,,30.6,32.4,"Nikon, 915",sunlit,
BNL10553,2/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,ACi,,32.5,32.4,"Nikon, 908",sunlit,
BNL11055,3/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 1,25.4,30.5,32.7,IMG_0648,sunlit,
BNL11115,3/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 1,24.9,29,none,IMG_0647,sunlit,no post-spec temp recorded
BNL11090,3/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 2,30,34.3,37.2,IMG_0663,sunlit,
BNL11195,3/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 2,29.5,33.5,36.3,IMG_0677,sunlit,
BNL11083,3/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 3,33.5,33.5,33.7,IMG_0683,sunlit,
BNL11172,3/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 3,34,32.5,33.9,IMG_0686,sunlit,
BNL11428,3/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 4,35.7,32.1,32.4,IMG_0706,sunlit,
BNL11429,3/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 4,35.5,32.1,32.7,IMG_0695,sunlit,
BNL11206,3/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 5,36.7,29.6,30.1,IMG_0727,sunlit,
BNL11414,3/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 5,37,29,30.1,IMG_0723,sunlit,
BNL11417,3/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 6,31.2,28.5,29.2,IMG_0734,sunlit,
BNL11400,3/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Diurnal 6,31,25.8,27.9,none,sunlit,no photo taken
BNL11378,3/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Pre-dawn LWP,22.3,22.8,25.5,IMG_0617,sunlit,
BNL11452,3/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Pre-dawn LWP,22.3,22.8,24.6,IMG_0613,sunlit,
BNL11482,3/14/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,Pre-dawn LWP,22.4,24.6,24.9,IMG_0616,sunlit,
BNL11350,3/15/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,ACi,NA,31.7,34.9,IMG_0842,sunlit,
BNL11436,3/15/16,PA-PNM,ALBIAD,Albizia ,adinocephala ,Albizia adinocephala ,ACi,NA,30.4,34.8,IMG_0838,sunlit,
