SampleID,Leaf_H2O_pc,SLA,LMA,QA_QC_Flag,Comments
BNL12801,61.03,231.04,43.28,,
BNL12802,77.12,183.16,54.6,,
BNL12803,71.66,100.52,99.48,,
BNL12804,65.63,199.68,50.08,,
BNL12805,64.44,197.27,50.69,,
BNL12806,56.47,83.96,119.1,,
BNL12807,65.58,309.17,32.35,1,
BNL12808,70.42,177.5,56.34,1,
BNL12809,52.83,169.73,58.92,,
BNL12810,68.37,145.46,68.75,,
BNL12811,52.5,134.26,74.48,,
BNL12812,53.1,123.8,80.78,,
BNL12813,53.7,122.45,81.67,,
BNL12814,52.88,108.47,92.19,,
BNL12815,45.2,83.37,119.94,,
BNL12816,65.95,150.13,66.61,,
BNL12817,65.65,155.8,64.19,,
BNL12818,69.75,178.99,55.87,,
BNL12819,56.82,83.69,119.49,,
BNL12820,51.3,97.14,102.94,,
BNL12821,71.12,122.14,81.87,,
BNL12822,70.35,166.97,59.89,,
BNL12823,69.07,149.3,66.98,,
BNL12824,74.9,132.61,75.41,,
BNL12824T,74.9,132.61,75.41,,
BNL12825,66.16,106.88,93.56,,
BNL12825T,66.16,106.88,93.56,,
BNL12826,61.7,98.06,101.98,,
BNL12826T,61.7,98.06,101.98,,
BNL12827,56.25,117.74,84.94,,
BNL12827T,56.25,117.74,84.94,,
BNL12828,55.48,111.61,89.6,,
BNL12828T,55.48,111.61,89.6,,
BNL12829,60.92,125.54,79.66,,
BNL12830,53.7,111.39,89.78,,
BNL12831,52.39,90.75,110.2,,
BNL12832,68.66,64.43,155.2,,
BNL12833,58.35,84.27,118.66,,
BNL12834,52.96,128.63,77.74,,
BNL12835,54.55,101.89,98.15,,
BNL12836,51.3,100.27,99.73,,
BNL12837,52.01,102.95,97.14,,
BNL12838,53.32,108.4,92.25,,
BNL12839,52.98,93.57,106.87,,
BNL12840,53.01,122.18,81.85,,
BNL12841,46.66,62.19,160.8,,
BNL12842,54.29,94.36,105.98,,
BNL12843,59.04,115.61,86.5,,
BNL12844,51.05,96.63,103.49,,
BNL12845,54.41,102.91,97.17,,
BNL12846,67.8,49,204.09,,
BNL12847,69.48,43.1,232.03,,
BNL12848,55.89,105.02,95.22,,
BNL12849,52.36,104.04,96.12,,
BNL12850,58.43,131.43,76.09,,
BNL12851,59.14,119.54,83.66,,
BNL12852,55.48,99.23,100.77,,
BNL12853,50.4,122.06,81.93,,
BNL12854,52.76,100.55,99.46,,
BNL12855,58.23,132.35,75.56,,
BNL12856,46.17,85.41,117.08,,
BNL12857,59.92,156.43,63.92,,
BNL12858,55.49,135.77,73.65,,
BNL12859,52.11,97.25,102.83,,
BNL12860,52.72,108.58,92.1,,
BNL12712,57.02,61.04,163.82,,
BNL12713,55.14,80.71,123.91,,
BNL12714,62.04,79.48,125.82,,
BNL12715,62.67,161.46,61.94,,
BNL12715T,62.67,161.46,61.94,,
BNL12716,47.72,76.86,130.11,,
BNL12717,52.38,112.75,88.69,,
BNL12861,46.25,61.89,161.57,,
BNL12862,57.2,122.46,81.66,,
BNL12862T,57.2,122.46,81.66,,
BNL12863,54.84,93.83,106.58,,
BNL12863T,54.84,93.83,106.58,,
BNL12864,44.74,77.99,128.22,,
BNL12864T,44.74,77.99,128.22,,
BNL12865,47.4,70.06,142.74,,
BNL12866,53.85,126.5,79.05,,
BNL12866T,53.85,126.5,79.05,,
BNL12867,53.9,97.15,102.93,,
BNL12867T,53.9,97.15,102.93,,
BNL12868,67.1,168.83,59.23,,
BNL12868T,67.1,168.83,59.23,,
BNL12869,52.4,74.83,133.64,,
BNL12870,57.56,107.03,93.44,,
BNL12870T,57.56,107.03,93.44,,
BNL12871,55.63,96.43,103.7,,
BNL12871T,55.63,96.43,103.7,,
BNL12872,59.32,126.45,79.08,,
BNL12872T,59.32,126.45,79.08,,
BNL12873,56.66,101.46,98.56,,
BNL12873T,56.66,101.46,98.56,,
BNL12874,69.15,113.22,88.32,,
BNL12874T,69.15,113.22,88.32,,
BNL12875,67.45,110.54,90.46,,
BNL12875T,67.45,110.54,90.46,,
BNL12876,61.49,119.69,83.55,,
BNL12876T,61.49,119.69,83.55,,
BNL12877,58.52,114.28,87.5,,
BNL12877T,58.52,114.28,87.5,,
BNL12878,52.13,103.17,96.93,,
BNL12878T,52.13,103.17,96.93,,
BNL12879,61.59,128.38,77.89,,
BNL12879T,61.59,128.38,77.89,,
BNL12880,64.31,124.86,80.09,,
BNL12880T,64.31,124.86,80.09,,
BNL12881,64.21,124.52,80.31,,
BNL12882,63.41,137.71,72.62,,
BNL12883,56.62,110.59,90.43,,
BNL12884,59.34,118.31,84.52,,
BNL12885,57.15,112.27,89.07,,
BNL12886,63.14,78.83,126.86,,
BNL12887,58.62,63.57,157.3,,
BNL12888,59.89,91.65,109.11,,
BNL12889,61.75,99.43,100.57,,
BNL12889T,61.75,99.43,100.57,,
BNL12890,83.73,83.67,119.51,1,"Very high water content, real?"
BNL12891,70.65,40.91,244.45,,
BNL12891T,70.65,40.91,244.45,,
BNL12892,66.85,37.99,263.24,,
BNL12892T,66.85,37.99,263.24,,
BNL12893,70.35,43.96,227.46,,
BNL12894,57.33,81.72,122.37,,
BNL12894T,57.33,81.72,122.37,,
BNL12895,60.36,73.85,135.41,,
BNL12896,69.37,34.22,292.24,,
BNL12896T,69.37,34.22,292.24,,
BNL12897,58.41,63.24,158.12,,
BNL12897T,58.41,63.24,158.12,,
BNL12898,67.62,29.09,343.79,,"High LMA, real?"
BNL12898T,67.62,29.09,343.79,,
BNL12899,58.77,78.14,127.98,,
BNL12900,56.28,72.37,138.18,,
BNL12900T,56.28,72.37,138.18,,
BNL12601,51.44,53.47,187.02,,
BNL12601T,51.44,53.47,187.02,,
BNL12602,48.74,57.44,174.09,,
