SampleID,Site,Latitude,Longitude,Sample_Type,Date,Species_Number,Species_ID,Full_Species_Name,Genus,Species,Leaf_Age,Canopy_Position,Light_Exposure
BNL12601,FLMM,18.387864,-66.028765,Chem,20170306,45,GUA-OFF,Guaiacum officinale,Guaiacum,officinale,Senescent ,Upper,Sunlit
BNL12601T,FLMM,18.387864,-66.028765,Chem,20170306,45,GUA-OFF,Guaiacum officinale,Guaiacum,officinale,Senescent ,Upper,Sunlit
BNL12602,FLMM,18.387864,-66.028765,Chem,20170306,67,QUA-CYN,Quadrella cynophallophora,Quadrella,cynophallophora,Young,Upper,Sunlit
BNL12603,FLMM,18.387864,-66.028765,Chem,20170306,67,QUA-CYN,Quadrella cynophallophora,Quadrella,cynophallophora,Senescent ,Upper,Sunlit
BNL12603T,FLMM,18.387864,-66.028765,Chem,20170306,67,QUA-CYN,Quadrella cynophallophora,Quadrella,cynophallophora,Senescent ,Upper,Sunlit
BNL12604,FLMM,18.387864,-66.028765,Chem,20170306,32,COC-DIV,Coccoloba diversifolia,Coccoloba,diversifolia,Mature,Upper,Sunlit
BNL12604T,FLMM,18.387864,-66.028765,Chem,20170306,32,COC-DIV,Coccoloba diversifolia,Coccoloba,diversifolia,Mature,Upper,Sunlit
BNL12605,FLMM,18.387864,-66.028765,Chem,20170306,32,COC-DIV,Coccoloba diversifolia,Coccoloba,diversifolia,Senescent ,Upper,Sunlit
BNL12605T,FLMM,18.387864,-66.028765,Chem,20170306,32,COC-DIV,Coccoloba diversifolia,Coccoloba,diversifolia,Senescent ,Upper,Sunlit
BNL12606,FLMM,18.387864,-66.028765,Chem,20170306,101,PET-DOM,Petitia domingensis,Petitia,domingensis,Young,Upper,Sunlit
BNL12606T,FLMM,18.387864,-66.028765,Chem,20170306,101,PET-DOM,Petitia domingensis,Petitia,domingensis,Young,Upper,Sunlit
BNL12607,FLMM,18.387864,-66.028765,Chem,20170306,101,PET-DOM,Petitia domingensis,Petitia,domingensis,Mature,Upper,Sunlit
BNL12607T,FLMM,18.387864,-66.028765,Chem,20170306,101,PET-DOM,Petitia domingensis,Petitia,domingensis,Mature,Upper,Sunlit
BNL12608,FLMM,18.387864,-66.028765,Chem,20170306,101,PET-DOM,Petitia domingensis,Petitia,domingensis,Senescent ,Upper,Sunlit
BNL12608T,FLMM,18.387864,-66.028765,Chem,20170306,101,PET-DOM,Petitia domingensis,Petitia,domingensis,Senescent ,Upper,Sunlit
BNL12609,FLMM,18.387864,-66.028765,Chem,20170306,35,CAL-ANT,Calophyllum antillanum,Calophyllum,antillanum,Mature,Upper,Sunlit
BNL12609T,FLMM,18.387864,-66.028765,Chem,20170306,35,CAL-ANT,Calophyllum antillanum,Calophyllum,antillanum,Mature,Upper,Sunlit
BNL12610,FLMM,18.387864,-66.028765,Chem,20170306,35,CAL-ANT,Calophyllum antillanum,Calophyllum,antillanum,Senescent ,Upper,Sunlit
BNL12610T,FLMM,18.387864,-66.028765,Chem,20170306,35,CAL-ANT,Calophyllum antillanum,Calophyllum,antillanum,Senescent ,Upper,Sunlit
BNL12611,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Mature,Upper,Sunlit
BNL12611T,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Mature,Upper,Sunlit
BNL12612,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Mature,Upper,Sunlit
BNL12612T,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Mature,Upper,Sunlit
BNL12613,FLMM,18.387864,-66.028765,Chem,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Young-Mature,Upper,Sunlit
BNL12613T,FLMM,18.387864,-66.028765,Chem,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Young-Mature,Upper,Sunlit
BNL12614,FLMM,18.387864,-66.028765,Chem,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Mature,Upper,Sunlit
BNL12614T,FLMM,18.387864,-66.028765,Chem,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Mature,Upper,Sunlit
BNL12615,FLMM,18.387864,-66.028765,Chem,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Old,Upper,Sunlit
BNL12615T,FLMM,18.387864,-66.028765,Chem,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Old,Upper,Sunlit
BNL12616,FLMM,18.387864,-66.028765,Chem,20170306,29,BUC-BUC,Bucida buceras,Bucida,buceras,Old,Upper,Sunlit
BNL12616T,FLMM,18.387864,-66.028765,Chem,20170306,29,BUC-BUC,Bucida buceras,Bucida,buceras,Old,Upper,Sunlit
BNL12617,FLMM,18.387864,-66.028765,Chem,20170306,29,BUC-BUC,Bucida buceras,Bucida,buceras,Senescent ,Upper,Sunlit
BNL12617T,FLMM,18.387864,-66.028765,Chem,20170306,29,BUC-BUC,Bucida buceras,Bucida,buceras,Senescent ,Upper,Sunlit
BNL12618,FLMM,18.387864,-66.028765,Chem,20170306,27,MAN-BID,Manilkara bidentata,Manilkara,bidentata,Young,Upper,Sunlit
BNL12618T,FLMM,18.387864,-66.028765,Chem,20170306,27,MAN-BID,Manilkara bidentata,Manilkara,bidentata,Young,Upper,Sunlit
BNL12619,FLMM,18.387864,-66.028765,Chem,20170306,27,MAN-BID,Manilkara bidentata,Manilkara,bidentata,Old,Upper,Sunlit
BNL12619T,FLMM,18.387864,-66.028765,Chem,20170306,27,MAN-BID,Manilkara bidentata,Manilkara,bidentata,Old,Upper,Sunlit
BNL12620,FLMM,18.387864,-66.028765,Chem,20170306,27,MAN-BID,Manilkara bidentata,Manilkara,bidentata,Old-epiphyll,Upper,Sunlit
