Point of contact for data,"Shawn P. Serbin, sserbin@bnl.gov, +1 631-344-3165"
,Environmental and Climate Sciences Department
,Brookhaven National Laboratory
Notes,
"Location ""FLMM+IITF"" indicates that the sample is from one of those locations.",
,
Location key,
Site name,FLMM
NGEE-Tropics site ID,PR-FLM
Latitude (DD),18.387864
Longitude (DD),-66.028765
Altitude (meters),74
,
Site name,CAR I
NGEE-Tropics site ID,PR-CAR
Latitude (DD),18.093005
Longitude (DD),-66.029509
Altitude (meters),617
,
Site name,CAM II
NGEE-Tropics site ID,PR-CAM
Latitude (DD),18.449981
Longitude (DD),-66.600623
Altitude (meters),49
,
Site name,IITF
NGEE-Tropics site ID,PR-UPR
Latitude (DD),18.38923
Longitude (DD),-66.05525
Altitude (meters),30
,
Site name,SB2
NGEE-Tropics site ID,PR-SB2
Latitude (DD),18.302924
Longitude (DD),-65.787412
Altitude (meters),500
,
